Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task
WiFi Core upgrade Project,791.2 days,0.330059179023787,10/03/18 08:00 AM,10/25/21 09:36 AM,,,10/03/18 08:00 AM,,
Intiation,1 day,1,10/03/18 08:00 AM,10/03/18 05:00 PM,10/03/18 09:30 PM,10/04/18 06:30 AM,,10/03/18 05:00 PM,1
governance g1,1 day,1,10/03/18 08:00 AM,10/03/18 05:00 PM,10/03/18 07:00 PM,10/03/18 10:30 PM,10/03/18 08:00 AM,10/03/18 05:00 PM,1
Governannce G2 ,100 days,0.884469696969697,10/04/18 08:00 AM,03/01/19 05:00 PM,10/04/18 09:30 PM,10/05/18 06:30 AM,10/04/18 08:00 AM,,1
project requirement collection,88 days,0.870028409090909,10/04/18 08:00 AM,02/13/19 05:00 PM,10/05/18 12:30 AM,02/13/19 10:30 PM,10/04/18 08:00 AM,,
g2 document and informaton,10 days,1,02/14/19 08:00 AM,02/27/19 05:00 PM,02/15/19 12:30 AM,02/27/19 10:30 PM,02/14/19 08:00 AM,02/27/19 05:00 PM,
G2 approval,1 day,1,03/01/19 08:00 AM,03/01/19 05:00 PM,03/01/19 07:00 PM,03/01/19 10:30 PM,03/01/19 08:00 AM,03/01/19 05:00 PM,
Specifications,102 days,1,12/08/20 08:00 AM,04/28/21 05:00 PM,,,,04/28/21 05:00 PM,1
rfp/specifications/design,102 days,1,12/08/20 08:00 AM,04/28/21 05:00 PM,10/05/18 12:30 AM,11/16/18 10:30 PM,12/08/20 08:00 AM,04/28/21 05:00 PM,
Wi-Fi core project,690.2 days,0.759710542569365,03/04/19 08:00 AM,10/25/21 09:36 AM,10/03/18 09:30 PM,10/04/18 06:30 AM,03/04/19 08:00 AM,,1
system procurement,457 days,0.894716796875,03/04/19 08:00 AM,12/01/20 05:00 PM,10/04/18 09:30 PM,10/05/18 06:30 AM,03/04/19 08:00 AM,,1
rfp review/business review,45 days,1,03/18/19 08:00 AM,05/17/19 05:00 PM,03/19/19 12:30 AM,04/04/19 10:30 PM,03/18/19 08:00 AM,05/17/19 05:00 PM,
tender doc preparation,3 days,1,05/20/19 08:00 AM,05/22/19 05:00 PM,04/09/19 12:30 AM,04/11/19 10:30 PM,05/20/19 08:00 AM,05/22/19 05:00 PM,
tet appointment,25 days,0.4,03/04/19 08:00 AM,04/05/19 05:00 PM,03/26/19 12:30 AM,04/05/19 10:30 PM,03/04/19 08:00 AM,,
project erp formation ,5 days,1,03/29/19 08:00 AM,04/04/19 05:00 PM,04/02/19 12:30 AM,04/04/19 10:30 PM,03/29/19 08:00 AM,04/04/19 05:00 PM,
purchase requistion,3 days,1,05/23/19 08:00 AM,05/27/19 05:00 PM,04/16/19 12:30 AM,04/16/19 10:30 PM,05/23/19 08:00 AM,05/27/19 05:00 PM,
procuremnt lead,7 days,1,05/28/19 08:00 AM,06/05/19 05:00 PM,04/18/19 12:30 AM,04/25/19 10:30 PM,05/28/19 08:00 AM,06/05/19 05:00 PM,
