Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task
selfcare App Rapid,140.912 days,0.72701326471441,10/21/20 08:00 AM,05/05/21 04:18 PM,10/21/20 09:30 PM,12/17/20 04:02 AM,12/11/20 08:00 AM,,1
BB,43 days,1,10/21/20 08:00 AM,12/18/20 05:00 PM,10/21/20 09:30 PM,12/17/20 02:30 AM,,12/18/20 05:00 PM,1
API develop,11 days,1,10/21/20 08:00 AM,11/04/20 05:00 PM,10/21/20 01:30 PM,11/04/20 10:30 PM,10/21/20 08:00 AM,11/04/20 05:00 PM,
API test,3 days,1,11/05/20 08:00 AM,11/09/20 05:00 PM,11/05/20 01:30 PM,11/09/20 10:30 PM,11/05/20 08:00 AM,11/09/20 05:00 PM,
APP UI confirmation,2 days,1,10/21/20 08:00 AM,10/22/20 05:00 PM,10/21/20 01:30 PM,10/22/20 10:30 PM,10/21/20 08:00 AM,10/22/20 05:00 PM,
APP UI basic theme,40 days,1,10/26/20 08:00 AM,12/18/20 05:00 PM,10/26/20 01:30 PM,12/18/20 10:30 PM,10/26/20 08:00 AM,12/18/20 05:00 PM,
App UI broadband,30 days,1,11/09/20 08:00 AM,12/18/20 05:00 PM,11/09/20 01:30 PM,12/18/20 10:30 PM,11/09/20 08:00 AM,12/18/20 05:00 PM,
Freedom API,27 days,0.80952380952381,11/10/20 08:00 AM,12/16/20 05:00 PM,11/10/20 09:30 PM,01/05/21 06:21 AM,,,1
API develop,11 days,1,11/10/20 08:00 AM,11/24/20 05:00 PM,11/10/20 01:30 PM,11/24/20 10:30 PM,11/10/20 08:00 AM,11/24/20 05:00 PM,
API test,4 days,0,12/11/20 08:00 AM,12/16/20 05:00 PM,11/25/20 09:30 PM,12/01/20 06:30 AM,,,
APP UI,6 days,1,11/25/20 08:00 AM,12/02/20 05:00 PM,11/23/20 01:30 PM,11/30/20 10:30 PM,11/25/20 08:00 AM,12/02/20 05:00 PM,
SLT Go,9 days,0.342045454545455,12/11/20 08:00 AM,12/23/20 05:00 PM,10/21/20 01:30 PM,12/15/20 09:10 PM,12/11/20 08:00 AM,,1
IT readiness,2 days,0.38125,12/11/20 08:00 AM,12/14/20 05:00 PM,11/02/20 01:30 PM,11/03/20 10:30 PM,12/11/20 08:00 AM,,
Usage API,6 days,0,12/11/20 08:00 AM,12/18/20 05:00 PM,10/21/20 09:30 PM,10/29/20 06:30 AM,,,
APP UI,3 days,1,12/21/20 08:00 AM,12/23/20 05:00 PM,10/29/20 01:30 PM,11/02/20 10:30 PM,12/21/20 08:00 AM,12/23/20 05:00 PM,
API GW,42 days,1,12/24/20 08:00 AM,02/19/21 05:00 PM,12/21/20 09:30 PM,02/13/21 03:48 AM,,02/19/21 05:00 PM,1
API publish,40 days,1,12/24/20 08:00 AM,02/19/21 05:00 PM,12/21/20 01:30 PM,02/16/21 07:17 PM,,02/19/21 05:00 PM,
AP test,40.402 days,0.504976022276079,02/22/21 08:00 AM,04/19/21 11:13 AM,02/16/21 07:17 PM,04/13/21 05:25 PM,,,
VA,6.51 days,0,04/08/21 04:08 PM,04/19/21 11:13 AM,04/06/21 05:20 AM,04/14/21 05:20 AM,,,
APP play store publish,12.51 days,0,04/19/21 11:13 AM,05/05/21 04:18 PM,04/14/21 05:20 AM,06/09/21 04:27 AM,,,1
Google,12.51 days,0,04/19/21 11:13 AM,05/05/21 04:18 PM,04/14/21 05:20 AM,04/29/21 05:20 AM,,,
Apple,12.51 days,0,04/19/21 11:13 AM,05/05/21 04:18 PM,04/14/21 05:20 AM,04/29/21 05:20 AM,,,
