Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task,
DC Infrastrucure Enhancement,751 days,0.775678866587958,01/01/19 08:00 AM,11/16/21 05:00 PM,01/01/19 08:00 AM,10/26/21 05:00 PM,01/01/19 08:00 AM,,1,
Initiation,103 days,0.859060402684564,01/01/19 08:00 AM,05/23/19 05:00 PM,01/01/19 08:00 AM,05/23/19 05:00 PM,01/01/19 08:00 AM,,1,
Governance G1,65 days,0.676923076923077,01/01/19 08:00 AM,04/01/19 05:00 PM,01/01/19 08:00 AM,04/01/19 05:00 PM,01/01/19 08:00 AM,,1,
assignment of project manager,23 days,1,03/01/19 08:00 AM,04/02/19 05:00 PM,03/01/19 08:00 AM,04/02/19 05:00 PM,03/01/19 08:00 AM,04/02/19 05:00 PM,,
Governance G2 ,33 days,1,04/03/19 08:00 AM,05/17/19 05:00 PM,04/03/19 08:00 AM,05/17/19 05:00 PM,,05/17/19 05:00 PM,1,
Requirement Collection,24 days,1,04/03/19 08:00 AM,05/06/19 05:00 PM,04/03/19 08:00 AM,05/06/19 05:00 PM,04/03/19 08:00 AM,05/06/19 05:00 PM,,
G2 Doc Preparartion,24 days,1,04/03/19 08:00 AM,05/06/19 05:00 PM,04/03/19 08:00 AM,05/06/19 05:00 PM,04/03/19 08:00 AM,05/06/19 05:00 PM,,
G2 Approval,9 days,1,05/07/19 08:00 AM,05/17/19 05:00 PM,05/07/19 08:00 AM,05/17/19 05:00 PM,05/07/19 08:00 AM,05/17/19 05:00 PM,,
Project ERP Formation,4 days,1,05/20/19 08:00 AM,05/23/19 05:00 PM,05/20/19 08:00 AM,05/23/19 05:00 PM,05/20/19 08:00 AM,05/23/19 05:00 PM,,
Block Storage Upgrade VNX5700,271 days,1,05/20/19 08:00 AM,06/01/20 05:00 PM,05/20/19 08:00 AM,06/01/20 05:00 PM,,06/01/20 05:00 PM,1,
Procurement,66 days,1,05/20/19 08:00 AM,08/19/19 05:00 PM,05/20/19 08:00 AM,08/19/19 05:00 PM,,08/19/19 05:00 PM,1,
BOM Preparation,3 days,1,05/20/19 08:00 AM,05/22/19 05:00 PM,05/20/19 08:00 AM,05/22/19 05:00 PM,05/20/19 08:00 AM,05/22/19 05:00 PM,,
CAPEX Allocation & Reservation,2 days,1,05/22/19 08:00 AM,05/23/19 05:00 PM,05/22/19 08:00 AM,05/23/19 05:00 PM,05/22/19 08:00 AM,05/23/19 05:00 PM,,
PR Initiation,3 days,1,05/24/19 08:00 AM,05/28/19 05:00 PM,05/24/19 08:00 AM,05/28/19 05:00 PM,05/24/19 08:00 AM,05/28/19 05:00 PM,,
LOI Issuance,27 days,1,05/29/19 08:00 AM,07/04/19 05:00 PM,05/29/19 08:00 AM,07/04/19 05:00 PM,05/29/19 08:00 AM,07/04/19 05:00 PM,,
Addendum Preparartion & Signing,24 days,1,07/05/19 08:00 AM,08/07/19 05:00 PM,07/05/19 08:00 AM,08/07/19 05:00 PM,07/05/19 08:00 AM,08/07/19 05:00 PM,,performance bond delay
PO Issuance,8 days,1,08/08/19 08:00 AM,08/19/19 05:00 PM,08/08/19 08:00 AM,08/19/19 05:00 PM,08/08/19 08:00 AM,08/19/19 05:00 PM,,
Delivery,104 days,1,08/19/19 08:00 AM,01/09/20 05:00 PM,08/19/19 08:00 AM,01/09/20 05:00 PM,,01/09/20 05:00 PM,,
Obtain DD Aprovals,11 days,1,08/20/19 08:00 AM,09/03/19 05:00 PM,08/20/19 08:00 AM,09/03/19 05:00 PM,08/20/19 08:00 AM,09/03/19 05:00 PM,,
Site Delivery (DD),14 days,1,08/19/19 08:00 AM,09/05/19 05:00 PM,08/19/19 08:00 AM,09/05/19 05:00 PM,08/19/19 08:00 AM,09/05/19 05:00 PM,,dead on delivery components
