Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task,
Core Network Enhancement Nat & Int' GW,833 days?,0.368810475389146,4/29/20 8:00 AM,7/7/23 5:00 PM,4/29/20 9:30 PM,4/30/20 6:30 AM,12/30/20 8:00 AM,,1,
G1 approval,15 days,1,4/29/20 8:00 AM,5/19/20 5:00 PM,4/29/20 7:00 PM,5/19/20 10:30 PM,4/29/20 8:00 AM,5/19/20 5:00 PM,1,G1 doc issue
PM assignment,27 days,1,5/20/20 8:00 AM,6/25/20 5:00 PM,5/20/20 7:00 PM,6/25/20 10:30 PM,5/20/20 8:00 AM,6/25/20 5:00 PM,1,
G2 Process,74 days,1,6/26/20 8:00 AM,10/7/20 5:00 PM,6/26/20 3:00 AM,10/10/20 3:00 AM,,10/7/20 5:00 PM,1,
Business Cases,21 days,1,6/26/20 8:00 AM,7/24/20 5:00 PM,6/26/20 7:00 PM,7/24/20 10:30 PM,6/26/20 8:00 AM,7/24/20 5:00 PM,,
Busienss Requirement Gathering,21 days,1,6/26/20 8:00 AM,7/24/20 5:00 PM,6/26/20 7:00 PM,7/24/20 10:30 PM,6/26/20 8:00 AM,7/24/20 5:00 PM,,
G2 Documents,28 days,1,6/26/20 8:00 AM,8/4/20 5:00 PM,6/26/20 7:00 PM,8/4/20 10:30 PM,6/26/20 8:00 AM,8/4/20 5:00 PM,,
G2 Submission,3 days,1,8/5/20 8:00 AM,8/7/20 5:00 PM,8/5/20 7:00 PM,8/7/20 10:30 PM,8/5/20 8:00 AM,8/7/20 5:00 PM,,
G2 Approval,35 days,1,8/10/20 8:00 AM,9/25/20 5:00 PM,6/25/20 7:00 PM,8/12/20 10:30 PM,8/10/20 8:00 AM,9/25/20 5:00 PM,,
Project ERP,4 days,1,10/2/20 8:00 AM,10/7/20 5:00 PM,8/14/20 3:00 AM,8/15/20 3:00 AM,10/2/20 8:00 AM,10/7/20 5:00 PM,,
1. Voice Core Capacity Enhancement,228 days,0.42,10/2/20 8:00 AM,8/17/21 5:00 PM,8/19/20 3:00 AM,1/7/21 10:30 PM,12/30/20 8:00 AM,,1,
Procurement,220 days,0.448717948717949,10/2/20 8:00 AM,8/5/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,12/30/20 8:00 AM,,1,
Requirement/Specifications,11 days,1,10/2/20 8:00 AM,10/16/20 5:00 PM,8/19/20 3:00 AM,8/29/20 3:00 AM,10/2/20 8:00 AM,10/16/20 5:00 PM,,
Tendering,135 days,0.630872483221476,10/19/20 8:00 AM,4/23/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,12/30/20 8:00 AM,,1,
Tender Document preparation,4 days,1,10/19/20 8:00 AM,10/22/20 5:00 PM,9/2/20 3:00 AM,9/3/20 10:30 PM,10/19/20 8:00 AM,10/22/20 5:00 PM,,
Sole Source Approval,4 days,1,11/16/20 8:00 AM,11/19/20 5:00 PM,8/19/20 3:00 AM,8/20/20 10:30 PM,11/16/20 8:00 AM,11/19/20 5:00 PM,,
SSET Appointment,6 days,1,11/16/20 8:00 AM,11/23/20 5:00 PM,8/19/20 3:00 AM,8/22/20 3:00 AM,11/16/20 8:00 AM,11/23/20 5:00 PM,,
Tender Strategy Approval,31 days,1,10/19/20 8:00 AM,11/30/20 5:00 PM,8/19/20 3:00 AM,9/26/20 3:00 AM,10/19/20 8:00 AM,11/30/20 5:00 PM,,
PR ,4 days,1,12/1/20 8:00 AM,12/4/20 5:00 PM,9/30/20 3:00 AM,10/1/20 10:30 PM,12/1/20 8:00 AM,12/4/20 5:00 PM,,
Tender lead,6 days,1,12/7/20 8:00 AM,12/14/20 5:00 PM,10/6/20 3:00 AM,10/8/20 10:30 PM,12/7/20 8:00 AM,12/14/20 5:00 PM,,
Tendering,11 days,1,12/15/20 8:00 AM,12/29/20 5:00 PM,10/13/20 3:00 AM,10/22/20 10:30 PM,12/15/20 8:00 AM,12/29/20 5:00 PM,,
TET Evaluation,21 days,0.523809523809524,12/30/20 8:00 AM,1/27/21 5:00 PM,10/27/20 3:00 AM,11/19/20 10:30 PM,12/30/20 8:00 AM,,,
CET Evaluation,31 days,0.548387096774194,1/28/21 8:00 AM,3/11/21 5:00 PM,11/24/20 3:00 AM,12/31/20 10:30 PM,1/28/21 8:00 AM,,,
Tender Approval,31 days,0,3/12/21 8:00 AM,4/23/21 5:00 PM,1/5/21 11:00 AM,2/12/21 6:30 AM,,,,
LOI,5 days,0,4/26/21 8:00 AM,4/30/21 5:00 PM,2/16/21 11:00 AM,2/17/21 6:30 AM,,,,
Contract preparation,14 days,0,5/3/21 8:00 AM,5/20/21 5:00 PM,2/18/21 11:00 AM,3/5/21 6:30 AM,,,,
Contract sign,7 days,0,5/21/21 8:00 AM,5/31/21 5:00 PM,3/9/21 11:00 AM,3/12/21 6:30 AM,,,,
PO,5 days,0,6/1/21 8:00 AM,6/7/21 5:00 PM,3/16/21 11:00 AM,3/17/21 6:30 AM,,,,
LC,12 days,0,6/8/21 8:00 AM,6/23/21 5:00 PM,3/18/21 11:00 AM,3/31/21 6:30 AM,,,,
Regulatory Clearance/Inland Revenue,16 days,0,6/24/21 8:00 AM,7/15/21 5:00 PM,4/1/21 11:00 AM,4/17/21 11:00 AM,,,,
Delivery,7 days,0,7/16/21 8:00 AM,7/26/21 5:00 PM,4/21/21 11:00 AM,4/29/21 6:30 AM,,,,
GRN,5 days,0,7/27/21 8:00 AM,8/2/21 5:00 PM,4/30/21 11:00 AM,5/1/21 11:00 AM,,,,
MO,3 days,0,8/3/21 8:00 AM,8/5/21 5:00 PM,5/5/21 11:00 AM,5/6/21 6:30 AM,,,,
Governance G3,5 days,0,7/27/21 8:00 AM,8/2/21 5:00 PM,4/30/21 11:00 AM,5/6/21 6:30 AM,,,,
Implementation,11 days,0,8/3/21 8:00 AM,8/17/21 5:00 PM,5/6/21 9:30 PM,5/7/21 6:30 AM,,,1,
Licence installation,3 days,0,8/3/21 8:00 AM,8/5/21 5:00 PM,5/6/21 9:30 PM,5/7/21 6:30 AM,,,,
PAT,3 days,0,8/6/21 8:00 AM,8/10/21 5:00 PM,5/7/21 9:30 PM,5/11/21 6:30 AM,,,,
PAC,5 days,0,8/11/21 8:00 AM,8/17/21 5:00 PM,5/12/21 11:00 AM,5/14/21 6:30 AM,,,,
2. UDR Capacity Enhancement,195 days,0.579591836734694,10/2/20 8:00 AM,7/1/21 5:00 PM,8/19/20 3:00 AM,1/7/21 10:30 PM,2/3/21 8:00 AM,,1,
Procurement,186 days,0.625550660792952,10/2/20 8:00 AM,6/18/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,2/3/21 8:00 AM,,1,
Requirement/Specifications,11 days,1,10/2/20 8:00 AM,10/16/20 5:00 PM,8/19/20 3:00 AM,8/29/20 3:00 AM,10/2/20 8:00 AM,10/16/20 5:00 PM,,
Tendering,105 days,0.942446043165468,10/8/20 8:00 AM,3/3/21 5:00 PM,8/18/20 9:30 PM,8/19/20 6:30 AM,2/3/21 8:00 AM,,1,
Tender Document preparation,4 days,1,10/19/20 8:00 AM,10/22/20 5:00 PM,9/2/20 3:00 AM,9/3/20 10:30 PM,10/19/20 8:00 AM,10/22/20 5:00 PM,,
Sole Source Approval,4 days,1,10/8/20 8:00 AM,10/13/20 5:00 PM,8/19/20 3:00 AM,8/20/20 10:30 PM,10/8/20 8:00 AM,10/13/20 5:00 PM,,
SSET Appointment,6 days,1,10/8/20 8:00 AM,10/15/20 5:00 PM,8/19/20 3:00 AM,8/22/20 3:00 AM,10/8/20 8:00 AM,10/15/20 5:00 PM,,
