Name,Duration,P_Com,Start,Finish,B_Start,B_Finish,A_Start,A_Finish,S_Task,
BB Portal & Mobile App Enhancement,300 days,0.35,11/18/20 08:00 AM,01/11/22 05:00 PM,11/18/20 08:00 AM,08/27/21 05:00 PM,03/04/21 08:00 AM,,1,
Initiation,59 days,1,11/18/20 08:00 AM,02/08/21 05:00 PM,11/18/20 08:00 AM,02/08/21 05:00 PM,,02/08/21 05:00 PM,1,
Governance G1,1 day,1,11/18/20 08:00 AM,11/18/20 05:00 PM,11/18/20 08:00 AM,11/18/20 05:00 PM,11/18/20 08:00 AM,11/18/20 05:00 PM,1,
PM assignment,59 days,1,11/18/20 08:00 AM,02/08/21 05:00 PM,11/18/20 08:00 AM,02/08/21 05:00 PM,11/18/20 08:00 AM,02/08/21 05:00 PM,1,
Project Activities,241 days,0.172727272727273,02/09/21 08:00 AM,01/11/22 05:00 PM,02/09/21 08:00 AM,08/27/21 05:00 PM,03/04/21 08:00 AM,,1,
governacne G2,28 days,0.875,02/09/21 08:00 AM,03/18/21 05:00 PM,02/09/21 08:00 AM,03/17/21 05:00 PM,,,1,
Project discussion,5 days,1,02/09/21 08:00 AM,02/15/21 05:00 PM,02/09/21 08:00 AM,02/15/21 05:00 PM,02/09/21 08:00 AM,02/15/21 05:00 PM,,
Document preparation,5 days,1,02/09/21 08:00 AM,02/15/21 05:00 PM,02/09/21 08:00 AM,02/15/21 05:00 PM,02/09/21 08:00 AM,02/15/21 05:00 PM,,
PPIMC submission,1 day,1,02/15/21 08:00 AM,02/15/21 05:00 PM,02/15/21 08:00 AM,02/15/21 05:00 PM,02/15/21 08:00 AM,02/15/21 05:00 PM,,
PMT Approval,6 days,1,02/16/21 08:00 AM,02/23/21 05:00 PM,02/16/21 08:00 AM,02/23/21 05:00 PM,02/16/21 08:00 AM,02/23/21 05:00 PM,,added
PPIMC recomendation,0 days,1,03/09/21 08:00 AM,03/09/21 08:00 AM,02/24/21 08:00 AM,03/04/21 05:00 PM,03/09/21 08:00 AM,03/09/21 08:00 AM,,
SIMC approval,4 days,1,03/10/21 08:00 AM,03/15/21 05:00 PM,03/05/21 08:00 AM,03/25/21 05:00 PM,03/10/21 08:00 AM,03/15/21 05:00 PM,,
Project ERP formation,3 days,0,03/16/21 08:00 AM,03/18/21 05:00 PM,03/26/21 08:00 AM,03/30/21 05:00 PM,,,,
procurement,76 days,0.182795698924731,03/04/21 08:00 AM,06/17/21 05:00 PM,03/18/21 08:00 AM,06/22/21 05:00 PM,03/04/21 08:00 AM,,1,
Single Source Approval,9 days,1,03/09/21 08:00 AM,03/19/21 05:00 PM,,,03/09/21 08:00 AM,03/19/21 05:00 PM,,added 
SSET appointment,5 days,0,03/22/21 08:00 AM,03/26/21 05:00 PM,03/18/21 08:00 AM,03/24/21 05:00 PM,03/22/21 08:00 AM,,,
RFP/specifications,10 days,0.8,03/04/21 08:00 AM,03/17/21 05:00 PM,03/18/21 08:00 AM,03/31/21 05:00 PM,03/04/21 08:00 AM,,,
Tender doc preparaion ,10 days,0,03/04/21 08:00 AM,03/17/21 05:00 PM,03/18/21 08:00 AM,03/31/21 05:00 PM,,,,
PR ,3 days,0,03/29/21 08:00 AM,03/31/21 05:00 PM,04/01/21 08:00 AM,04/05/21 05:00 PM,,,,
Tenderning,10 days,0,04/01/21 08:00 AM,04/14/21 05:00 PM,04/06/21 08:00 AM,04/19/21 05:00 PM,,,,
SSET Evaluation,15 days,0,04/15/21 08:00 AM,05/05/21 05:00 PM,04/20/21 08:00 AM,05/10/21 05:00 PM,,,,
JTB Approval,10 days,0,05/06/21 08:00 AM,05/19/21 05:00 PM,05/11/21 08:00 AM,05/24/21 05:00 PM,,,,
LOI,3 days,0,05/20/21 08:00 AM,05/24/21 05:00 PM,05/25/21 08:00 AM,05/27/21 05:00 PM,,,,
Contract Prep & Sign,15 days,0,05/25/21 08:00 AM,06/14/21 05:00 PM,05/28/21 08:00 AM,06/17/21 05:00 PM,,,,
PO,3 days,0,06/15/21 08:00 AM,06/17/21 05:00 PM,06/18/21 08:00 AM,06/22/21 05:00 PM,,,,
governance G3,10 days,0,06/04/21 08:00 AM,06/17/21 05:00 PM,06/09/21 08:00 AM,06/22/21 05:00 PM,,,,
Implementation,43 days,0,06/18/21 08:00 AM,08/17/21 05:00 PM,06/23/21 08:00 AM,08/20/21 05:00 PM,,,1,
PCRF Development,10 days,0,06/18/21 08:00 AM,07/01/21 05:00 PM,06/23/21 08:00 AM,07/06/21 05:00 PM,,,,
BE Development/Configurations,10 days,0,07/02/21 08:00 AM,07/15/21 05:00 PM,07/07/21 08:00 AM,07/20/21 05:00 PM,,,,
API Development,10 days,0,07/16/21 08:00 AM,07/29/21 05:00 PM,07/21/21 08:00 AM,08/03/21 05:00 PM,,,,
UI Readiness,15 days,0,06/18/21 08:00 AM,07/08/21 05:00 PM,06/23/21 08:00 AM,07/13/21 05:00 PM,,,,
governance G4,10 days,0,07/16/21 08:00 AM,07/29/21 05:00 PM,07/21/21 08:00 AM,08/03/21 05:00 PM,,,,
Testing & Validation,5 days,0,07/30/21 08:00 AM,08/05/21 05:00 PM,08/04/21 08:00 AM,08/10/21 05:00 PM,,,,
Database Migration,3 days,0,08/06/21 08:00 AM,08/10/21 05:00 PM,08/11/21 08:00 AM,08/13/21 05:00 PM,,,,
governance G5,10 days,0,07/28/21 08:00 AM,08/10/21 05:00 PM,08/02/21 08:00 AM,08/13/21 05:00 PM,,,,
production,2 days,0,08/11/21 08:00 AM,08/12/21 05:00 PM,08/16/21 08:00 AM,08/17/21 05:00 PM,,,,
Secuirty validation,3 days,0,08/13/21 08:00 AM,08/17/21 05:00 PM,08/18/21 08:00 AM,08/20/21 05:00 PM,,,,
PAT,3 days,0,08/18/21 08:00 AM,08/20/21 05:00 PM,08/23/21 08:00 AM,08/25/21 05:00 PM,,,,
PAC,1 day,0,08/23/21 08:00 AM,08/23/21 05:00 PM,08/26/21 08:00 AM,08/26/21 05:00 PM,,,,
Deployment,1 day,0,08/24/21 08:00 AM,08/24/21 05:00 PM,08/27/21 08:00 AM,08/27/21 05:00 PM,,,,
governance G6,10 days,0,12/29/21 08:00 AM,01/11/22 05:00 PM,01/01/22 08:00 AM,01/14/22 05:00 PM,,,,
